[2023-05-18 08:26:10,394][root][INFO] - Model saved as :2305180826
[2023-05-18 08:26:10,394][root][INFO] - {'_target_': 'model_set.models.UNetFlood', 'classes': 1, 'in_channels': 1, 'dropout': True, 'prob': 0.2}
[2023-05-18 08:26:10,394][root][INFO] - {'_target_': 'torch.optim.Adam', 'maximize': True, 'lr': 5e-06, 'weight_decay': 0.9}
[2023-05-18 08:31:11,727][scr.models_trainer][INFO] - Epoch_0: trainLoss = 3.892983611740501e+18: valLoss = 4.0333004700986025e+18: valMetric = 1.9621800961632037; test_loss = 1.2975674680662784e+18; testMetric = 3.8831301405210343
[2023-05-18 08:36:19,017][scr.models_trainer][INFO] - Epoch_1: trainLoss = 4.658902568207616e+21: valLoss = 1.399678926575369e+22: valMetric = 18.383564158582708; test_loss = 1.6600757234780655e+22; testMetric = 13.168141719403376
[2023-05-18 08:41:10,570][scr.models_trainer][INFO] - Epoch_2: trainLoss = 7.2030607862874845e+22: valLoss = 6.49913660512789e+22: valMetric = 18.386061516151386; test_loss = 6.596010503074612e+22; testMetric = 13.168141719403376
[2023-05-18 08:45:59,300][scr.models_trainer][INFO] - Epoch_3: trainLoss = 2.314499131740249e+23: valLoss = 2.7631149308856294e+23: valMetric = 18.389435922014584; test_loss = 3.4754429567884313e+23; testMetric = 13.168141719403376
[2023-05-18 08:50:52,439][scr.models_trainer][INFO] - Epoch_4: trainLoss = 4.629094630360299e+23: valLoss = 1.5813403577800953e+23: valMetric = 18.422717870801204; test_loss = 1.5339682124405784e+23; testMetric = 13.168141719403376
[2023-05-18 08:55:45,392][scr.models_trainer][INFO] - Epoch_5: trainLoss = 6.484803041892475e+23: valLoss = 1.7345503626626595e+23: valMetric = 18.392107828432863; test_loss = 1.853350662754756e+23; testMetric = 13.168141719403376
[2023-05-18 09:00:45,430][scr.models_trainer][INFO] - Epoch_6: trainLoss = 8.66200521495456e+23: valLoss = 5.2814375906009895e+23: valMetric = 18.391281272677393; test_loss = 7.423294663291651e+23; testMetric = 13.168141719403376
[2023-05-18 09:05:43,866][scr.models_trainer][INFO] - Epoch_7: trainLoss = 1.1280970812773969e+24: valLoss = 1.1248755438935288e+24: valMetric = 18.389435922014584; test_loss = 1.49865772145093e+24; testMetric = 13.168141719403376
[2023-05-18 09:10:37,774][scr.models_trainer][INFO] - Epoch_8: trainLoss = 1.3826378249300144e+24: valLoss = 1.1509231297445812e+24: valMetric = 18.389435922014584; test_loss = 1.4701595924957917e+24; testMetric = 13.168141719403376
[2023-05-18 09:15:36,875][scr.models_trainer][INFO] - Epoch_9: trainLoss = 1.62240902000833e+24: valLoss = 4.9957448705179144e+23: valMetric = 18.389441372267424; test_loss = 5.802800103065393e+23; testMetric = 13.168141719403376
[2023-05-18 09:20:38,972][scr.models_trainer][INFO] - Epoch_10: trainLoss = 1.8869556421146298e+24: valLoss = 2.9495207003758886e+24: valMetric = 18.35625449225897; test_loss = 3.8153169888923667e+24; testMetric = 13.168141719403376
[2023-05-18 09:25:38,998][scr.models_trainer][INFO] - Epoch_11: trainLoss = 2.1748602965382158e+24: valLoss = 1.420115260428025e+24: valMetric = 18.389435922014584; test_loss = 1.9875422521503779e+24; testMetric = 13.168141719403376
[2023-05-18 09:30:36,903][scr.models_trainer][INFO] - Epoch_12: trainLoss = 2.4432408597549856e+24: valLoss = 6.821978219439956e+23: valMetric = 18.394931179705107; test_loss = 8.430789975191504e+23; testMetric = 13.168141719403376
[2023-05-18 09:35:43,380][scr.models_trainer][INFO] - Epoch_13: trainLoss = 2.8192654376598346e+24: valLoss = 7.007577290518374e+23: valMetric = 18.393208983963717; test_loss = 9.104856257238106e+23; testMetric = 13.168141719403376
