[2023-05-28 10:13:20,014][root][INFO] - Model saved as :2305281013
[2023-05-28 10:13:20,015][root][INFO] - {'_target_': 'model_set.models.UNetFlood', 'classes': 1, 'in_channels': 1, 'dropout': True, 'prob': 0.1}
[2023-05-28 10:13:20,015][root][INFO] - {'_partial_': True, '_target_': 'torch.nn.functional.binary_cross_entropy_with_logits'}
[2023-05-28 10:13:20,015][root][INFO] - {'_target_': 'torch.optim.Adam', 'maximize': False, 'lr': 0.001, 'weight_decay': 0.9}
[2023-05-28 10:18:00,474][scr.models_trainer][INFO] - Epoch_0: trainLoss = 0.48470140691169783: valLoss = 0.4987276822478328: valMetric = 0.0; test_loss = 0.49870353232147874; testMetric = 0.0
[2023-05-28 10:22:35,205][scr.models_trainer][INFO] - Epoch_1: trainLoss = 0.4987085516466876: valLoss = 0.49873477280439443: valMetric = 0.0; test_loss = 0.4987106227105664; testMetric = 0.0
[2023-05-28 10:27:19,759][scr.models_trainer][INFO] - Epoch_2: trainLoss = 0.49870298812097075: valLoss = 0.4987040976783139: valMetric = 0.0; test_loss = 0.49867994330262627; testMetric = 0.0
[2023-05-28 10:31:57,857][scr.models_trainer][INFO] - Epoch_3: trainLoss = 0.4987020647244052: valLoss = 0.498812579180128: valMetric = 0.0; test_loss = 0.49878844106069176; testMetric = 0.0
[2023-05-28 10:36:38,971][scr.models_trainer][INFO] - Epoch_4: trainLoss = 0.49870536003366356: valLoss = 0.498704813233572: valMetric = 0.0; test_loss = 0.4986806566356331; testMetric = 0.0
[2023-05-28 10:41:15,256][scr.models_trainer][INFO] - Epoch_5: trainLoss = 0.4987047103694482: valLoss = 0.4987498535283247: valMetric = 0.0; test_loss = 0.49872570236523944; testMetric = 0.0
[2023-05-28 10:45:52,373][scr.models_trainer][INFO] - Epoch_6: trainLoss = 0.4987025250448258: valLoss = 0.49876272693351287: valMetric = 0.0; test_loss = 0.49873857728896603; testMetric = 0.0
[2023-05-28 10:50:28,271][scr.models_trainer][INFO] - Epoch_7: trainLoss = 0.4987026454250781: valLoss = 0.4987950756322199: valMetric = 0.0; test_loss = 0.49877093363833686; testMetric = 0.0
[2023-05-28 10:55:04,605][scr.models_trainer][INFO] - Epoch_8: trainLoss = 0.49870189681891325: valLoss = 0.49875402899842763: valMetric = 0.0; test_loss = 0.49872987853583467; testMetric = 0.0
[2023-05-28 10:59:46,342][scr.models_trainer][INFO] - Epoch_9: trainLoss = 0.49870302899901586: valLoss = 0.4988205972029336: valMetric = 0.0; test_loss = 0.4987964598081445; testMetric = 0.0
[2023-05-28 11:04:23,471][scr.models_trainer][INFO] - Epoch_10: trainLoss = 0.49870616516299227: valLoss = 0.4986839586466401: valMetric = 0.0; test_loss = 0.4986598027008836; testMetric = 0.0
[2023-05-28 11:08:59,972][scr.models_trainer][INFO] - Epoch_11: trainLoss = 0.49870043496437577: valLoss = 0.49875112304735425: valMetric = 0.0; test_loss = 0.4987269694446236; testMetric = 0.0
[2023-05-28 11:13:43,077][scr.models_trainer][INFO] - Epoch_12: trainLoss = 0.49870834183305546: valLoss = 0.49874909663919226: valMetric = 0.0; test_loss = 0.49872494865489264; testMetric = 0.0
[2023-05-28 11:18:22,334][scr.models_trainer][INFO] - Epoch_13: trainLoss = 0.49870097711132055: valLoss = 0.4987509846687317: valMetric = 0.0; test_loss = 0.4987268351739453; testMetric = 0.0
[2023-05-28 11:22:58,282][scr.models_trainer][INFO] - Epoch_14: trainLoss = 0.49869869268627254: valLoss = 0.49870425208130076: valMetric = 0.0; test_loss = 0.4986800932756034; testMetric = 0.0
[2023-05-28 11:27:40,038][scr.models_trainer][INFO] - Epoch_15: trainLoss = 0.49869865565567634: valLoss = 0.4987317364120004: valMetric = 0.0; test_loss = 0.49870758511686836; testMetric = 0.0
[2023-05-28 11:32:18,754][scr.models_trainer][INFO] - Epoch_16: trainLoss = 0.49870307822347215: valLoss = 0.4987100247462191: valMetric = 0.0; test_loss = 0.49868586755567984; testMetric = 0.0
[2023-05-28 11:36:54,446][scr.models_trainer][INFO] - Epoch_17: trainLoss = 0.4987007871248169: valLoss = 0.4987944159375962: valMetric = 0.0; test_loss = 0.4987702754236037; testMetric = 0.0
[2023-05-28 11:41:30,564][scr.models_trainer][INFO] - Epoch_18: trainLoss = 0.49870376539371214: valLoss = 0.49883030856674043: valMetric = 0.0; test_loss = 0.49880616671295575; testMetric = 0.0
[2023-05-28 11:46:07,646][scr.models_trainer][INFO] - Epoch_19: trainLoss = 0.4986992266364781: valLoss = 0.4987020107669447: valMetric = 0.0; test_loss = 0.4986778529741431; testMetric = 0.0
[2023-05-28 11:50:43,775][scr.models_trainer][INFO] - Epoch_20: trainLoss = 0.4986996971169814: valLoss = 0.49874338837125193: valMetric = 0.0; test_loss = 0.49871923782492195; testMetric = 0.0
[2023-05-28 11:55:19,862][scr.models_trainer][INFO] - Epoch_21: trainLoss = 0.49869884594152386: valLoss = 0.49866138226422835: valMetric = 0.0; test_loss = 0.49863722471780675; testMetric = 0.0
